lambda_nm Rup_1nm Rup_8nm Rup_16nm Rup_24nm Rup_31nm Rup_39nm Rup_47nm Rup_54nm Rup_62nm Rup_70nm Rdown_1nm Rdown_8nm Rdown_16nm Rdown_24nm Rdown_31nm Rdown_39nm Rdown_47nm Rdown_54nm Rdown_62nm Rdown_70nm
726.381910 0.048409 0.398215 0.079133 0.259716 0.424241 0.529680 0.593264 0.630939 0.653121 0.666143 0.034718 0.292773 0.151178 0.349899 0.522368 0.634982 0.704239 0.745935 0.770790 0.785525
729.145729 0.048185 0.397939 0.085684 0.283684 0.450679 0.556009 0.619096 0.656342 0.678227 0.691057 0.034315 0.292162 0.150294 0.358449 0.529669 0.639831 0.707085 0.747407 0.771384 0.785575
731.909548 0.047980 0.395649 0.094645 0.306866 0.475299 0.580091 0.642475 0.679187 0.700715 0.713321 0.033888 0.289975 0.151502 0.367187 0.536742 0.644410 0.709709 0.748710 0.771848 0.785522
734.673367 0.047782 0.391046 0.105456 0.329116 0.498167 0.602097 0.663631 0.699734 0.720867 0.733227 0.033445 0.286012 0.154439 0.375980 0.543566 0.648745 0.712152 0.749891 0.772232 0.785417
737.437186 0.047579 0.383850 0.117629 0.350352 0.519375 0.622204 0.682785 0.718231 0.738944 0.751044 0.033001 0.280066 0.158757 0.384705 0.550102 0.652821 0.714406 0.750944 0.772531 0.785254
740.201005 0.047354 0.373838 0.130753 0.370540 0.539029 0.640584 0.700144 0.734904 0.755184 0.767017 0.032575 0.271977 0.164153 0.393278 0.556331 0.656639 0.716479 0.751875 0.772749 0.785037
742.964824 0.047092 0.360878 0.144494 0.389678 0.557243 0.657401 0.715899 0.749958 0.769799 0.781364 0.032186 0.261649 0.170358 0.401629 0.562237 0.660194 0.718362 0.752676 0.772877 0.784754
745.728643 0.046775 0.344956 0.158580 0.407788 0.574131 0.672810 0.730224 0.763577 0.782979 0.794277 0.031850 0.249095 0.177160 0.409725 0.567827 0.663502 0.720074 0.753362 0.772926 0.784417
748.492462 0.046405 0.326231 0.172801 0.424905 0.589801 0.686950 0.743273 0.775924 0.794892 0.805926 0.031574 0.234437 0.184368 0.417526 0.573093 0.666560 0.721609 0.753923 0.772886 0.784012
751.256281 0.045990 0.305028 0.186996 0.441077 0.604356 0.699948 0.755185 0.787143 0.805684 0.816460 0.031349 0.217947 0.191844 0.425032 0.578063 0.669398 0.722995 0.754388 0.772784 0.783565
754.020101 0.045545 0.281843 0.201043 0.456353 0.617895 0.711920 0.766083 0.797361 0.815484 0.826008 0.031158 0.200001 0.199459 0.432209 0.582711 0.671989 0.724199 0.754716 0.772574 0.783031
756.783920 0.045088 0.257323 0.214854 0.470788 0.630507 0.722967 0.776074 0.806687 0.824405 0.834684 0.030982 0.181119 0.207139 0.439095 0.587104 0.674402 0.725293 0.754980 0.772330 0.782479
759.547739 0.044634 0.232209 0.228365 0.484433 0.642271 0.733182 0.785254 0.815221 0.832545 0.842587 0.030806 0.161864 0.214812 0.445691 0.591250 0.676648 0.726281 0.755181 0.772049 0.781908
762.311558 0.044190 0.207266 0.241535 0.497343 0.653265 0.742646 0.793709 0.823047 0.839989 0.849802 0.030617 0.142806 0.222407 0.451969 0.595118 0.678684 0.727114 0.755264 0.771676 0.781260
765.075377 0.043760 0.183220 0.254336 0.509566 0.663555 0.751432 0.801511 0.830241 0.846814 0.856405 0.030412 0.124504 0.229897 0.457969 0.598761 0.680565 0.727848 0.755285 0.771264 0.780586
767.839196 0.043349 0.160712 0.266753 0.521150 0.673200 0.759604 0.808728 0.836868 0.853084 0.862461 0.030191 0.107434 0.237255 0.463705 0.602199 0.682312 0.728500 0.755260 0.770826 0.779902
770.603015 0.042951 0.140217 0.278782 0.532142 0.682259 0.767221 0.815417 0.842986 0.858858 0.868029 0.029949 0.091936 0.244431 0.469135 0.605375 0.683854 0.728991 0.755102 0.770276 0.779116
