Simulation Summary - All Geometry/Material Combos
Timestamp: 20250318_185843
Wave parameters: {'angle': 0, 'polarization': 1, 'wavelength': np.float64(1000.0)}
Number of RCWA modes: 70

---- COMBINATIONS ----

Combo name: Geom_S1 - S1
Geometry:
{'thick_super': 200.0, 'width_reso': 30.0, 'thick_reso': 30.0, 'thick_gap': 3.0, 'thick_func': 1.0, 'thick_mol': 0.0, 'thick_metalliclayer': 10.0, 'thick_sub': 200.0, 'thick_accroche': 0.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_dielec', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_sub', 'material': {'type': 'Standard', 'material': 'ITO'}}, {'key': 'perm_reso', 'material': {'type': 'Standard', 'material': 'Ag'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'Standard', 'material': 'Au'}}, {'key': 'perm_accroche', 'material': {'type': 'None'}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}]
RI Overrides: {}
Reflectance points (Rup, Rdown):
  λ=936.4321608040202 nm -> Rup=0.8581669441633156, Rdown=5.1275987529046434e-06
  λ=939.1959798994975 nm -> Rup=0.8590976658678193, Rdown=5.2373028808896464e-06
  λ=941.9597989949749 nm -> Rup=0.8600016243238441, Rdown=5.350599415757752e-06
  λ=944.7236180904523 nm -> Rup=0.8608799129556655, Rdown=5.467585609670526e-06
  λ=947.4874371859297 nm -> Rup=0.8617336613356757, Rdown=5.588358597391766e-06
  λ=950.251256281407 nm -> Rup=0.8625639706607701, Rdown=5.71301638738356e-06
  λ=953.0150753768844 nm -> Rup=0.8633718570481903, Rdown=5.841659123241705e-06
  λ=955.7788944723618 nm -> Rup=0.8641582162650675, Rdown=5.9743902511881966e-06
  λ=958.5427135678392 nm -> Rup=0.8649238174594845, Rdown=6.11131724885813e-06
  λ=961.3065326633166 nm -> Rup=0.8656693242329719, Rdown=6.25255173507714e-06
  λ=964.070351758794 nm -> Rup=0.8663953333373108, Rdown=6.398209003740421e-06
  λ=966.8341708542714 nm -> Rup=0.8671024184127899, Rdown=6.548407193201479e-06
  λ=969.5979899497488 nm -> Rup=0.8677911688859891, Rdown=6.703266335931193e-06
  λ=972.3618090452262 nm -> Rup=0.8684622194628607, Rdown=6.8629074575573886e-06
  λ=975.1256281407036 nm -> Rup=0.8691162700245811, Rdown=7.027451786139225e-06
  λ=977.8894472361809 nm -> Rup=0.8697540971801003, Rdown=7.1970200738773145e-06
  λ=980.6532663316583 nm -> Rup=0.8703765572686892, Rdown=7.371732049295037e-06
  λ=983.4170854271357 nm -> Rup=0.8709845779665132, Rdown=7.551706101600763e-06
  λ=986.1809045226131 nm -> Rup=0.8715791343172591, Rdown=7.737059374224749e-06
  λ=988.9447236180905 nm -> Rup=0.8721612065974327, Rdown=7.927908454073864e-06
  λ=991.7085427135679 nm -> Rup=0.8727317226305648, Rdown=8.124370737310026e-06
  λ=994.4723618090453 nm -> Rup=0.8732914937767126, Rdown=8.326566342609194e-06
  λ=997.2361809045226 nm -> Rup=0.8738411593626642, Rdown=8.534620211352836e-06
  λ=1000.0 nm -> Rup=0.8743811544712163, Rdown=8.748663894389616e-06
----------------------------------------
