Simulation Summary - All Geometry/Material Combos
Timestamp: 20250314_165519
Wave parameters: {'angle': 0, 'polarization': 1, 'wavelength': np.float64(1000.0)}
Number of RCWA modes: 70

---- COMBINATIONS ----

Combo name: Geometry_1 - Config_1
Geometry:
{'thick_super': 200.0, 'width_reso': 30.0, 'thick_reso': 30.0, 'thick_gap': 3.0, 'thick_func': 1.0, 'thick_mol': 2.0, 'thick_metalliclayer': 10.0, 'thick_sub': 200.0, 'thick_accroche': 1.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_dielec', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_sub', 'material': {'type': 'Standard', 'material': 'ITO'}}, {'key': 'perm_reso', 'material': {'type': 'Standard', 'material': 'Ag'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'Standard', 'material': 'Au'}}, {'key': 'perm_accroche', 'material': {'type': 'None'}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}]
RI Overrides: {}
Reflectance points (Rup, Rdown):
  λ=872.8643216080402 nm -> Rup=0.5719376473463857, Rdown=0.42905442385028636
  λ=875.6281407035176 nm -> Rup=0.5744792102269667, Rdown=0.42958796209003863
  λ=878.391959798995 nm -> Rup=0.5769800109436877, Rdown=0.43006871717477924
  λ=881.1557788944724 nm -> Rup=0.5794409311920503, Rdown=0.4305194894628332
  λ=883.9195979899498 nm -> Rup=0.5818641308332526, Rdown=0.4309352854842796
  λ=886.6834170854272 nm -> Rup=0.5842509602462466, Rdown=0.43130832943444164
  λ=889.4472361809046 nm -> Rup=0.5866051279817935, Rdown=0.43163025033248953
  λ=892.211055276382 nm -> Rup=0.5889261677588993, Rdown=0.431926250886539
  λ=894.9748743718593 nm -> Rup=0.5912137645274455, Rdown=0.4321967513410663
  λ=897.7386934673367 nm -> Rup=0.5934728291488878, Rdown=0.432427523811043
  λ=900.5025125628141 nm -> Rup=0.595703741911378, Rdown=0.43262533966367267
  λ=903.2663316582915 nm -> Rup=0.5979066949469635, Rdown=0.4327761792657334
  λ=906.0301507537688 nm -> Rup=0.6000796718587359, Rdown=0.4329152684464019
  λ=908.7939698492462 nm -> Rup=0.6022251424306658, Rdown=0.43302532859407045
  λ=911.5577889447236 nm -> Rup=0.6043469664248335, Rdown=0.4330947729049142
  λ=914.321608040201 nm -> Rup=0.6064397116474155, Rdown=0.43314736127131087
  λ=917.0854271356784 nm -> Rup=0.6085105399648383, Rdown=0.4331498787245701
  λ=919.8492462311558 nm -> Rup=0.6105539384279459, Rdown=0.43315065509178086
  λ=922.6130653266332 nm -> Rup=0.6125772208964834, Rdown=0.433088638327115
  λ=925.3768844221106 nm -> Rup=0.6145764728715546, Rdown=0.43301106277255463
  λ=928.140703517588 nm -> Rup=0.6165518775729418, Rdown=0.4329191239547237
  λ=930.9045226130654 nm -> Rup=0.618508017304308, Rdown=0.43279402401902084
  λ=933.6683417085428 nm -> Rup=0.620445138816116, Rdown=0.4326231035339581
  λ=936.4321608040202 nm -> Rup=0.6223602536241375, Rdown=0.4324501905105657
  λ=939.1959798994975 nm -> Rup=0.6242553562423315, Rdown=0.43224017996941244
  λ=941.9597989949749 nm -> Rup=0.62613412426358, Rdown=0.4319831409671941
  λ=944.7236180904523 nm -> Rup=0.627993603104115, Rdown=0.4317251694983814
  λ=947.4874371859297 nm -> Rup=0.6298374768218031, Rdown=0.4314334266584437
  λ=950.251256281407 nm -> Rup=0.6316618470928331, Rdown=0.4311110110675944
  λ=953.0150753768844 nm -> Rup=0.633469035768744, Rdown=0.4307745132637724
  λ=955.7788944723618 nm -> Rup=0.6352613704454816, Rdown=0.43039733096135346
  λ=958.5427135678392 nm -> Rup=0.6370400140011856, Rdown=0.4299921410349501
  λ=961.3065326633166 nm -> Rup=0.6388030894444884, Rdown=0.429580781927801
  λ=964.070351758794 nm -> Rup=0.6405523321265169, Rdown=0.4291345881071873
  λ=966.8341708542714 nm -> Rup=0.6422911740558704, Rdown=0.4286644412783504
  λ=969.5979899497488 nm -> Rup=0.644018232428958, Rdown=0.42815866218450194
  λ=972.3618090452262 nm -> Rup=0.645733911241554, Rdown=0.42762748209767765
  λ=975.1256281407036 nm -> Rup=0.6474412478271282, Rdown=0.4270677903389687
  λ=977.8894472361809 nm -> Rup=0.6491389821135989, Rdown=0.4264983747577192
  λ=980.6532663316583 nm -> Rup=0.6508281385197529, Rdown=0.4258918376569213
  λ=983.4170854271357 nm -> Rup=0.6525079633060388, Rdown=0.4252782234837077
  λ=986.1809045226131 nm -> Rup=0.6541795689724182, Rdown=0.42463128825350327
  λ=988.9447236180905 nm -> Rup=0.6558434499971949, Rdown=0.4239507605580672
  λ=991.7085427135679 nm -> Rup=0.6575010094979428, Rdown=0.42324627599580655
  λ=994.4723618090453 nm -> Rup=0.6591491554345784, Rdown=0.42251791335700845
  λ=997.2361809045226 nm -> Rup=0.6607913761231707, Rdown=0.42175393215793644
  λ=1000.0 nm -> Rup=0.6624229669480249, Rdown=0.4209853078235087
----------------------------------------
