  λ=556.78391959799 nm -> Rup=0.0, Rdown=0.0
  λ=560.3015075376884 nm -> Rup=0.0, Rdown=0.0
  λ=563.819095477387 nm -> Rup=0.0, Rdown=0.0
  λ=567.3366834170854 nm -> Rup=0.0, Rdown=0.0
  λ=570.854271356784 nm -> Rup=0.0, Rdown=0.0
  λ=574.3718592964824 nm -> Rup=0.0, Rdown=0.0
  λ=577.8894472361809 nm -> Rup=0.0, Rdown=0.0
  λ=581.4070351758794 nm -> Rup=0.0, Rdown=0.0
  λ=584.9246231155779 nm -> Rup=0.0, Rdown=0.0
  λ=588.4422110552764 nm -> Rup=0.0, Rdown=0.0
  λ=591.9597989949749 nm -> Rup=0.0, Rdown=0.0
  λ=595.4773869346734 nm -> Rup=0.0, Rdown=0.0
  λ=598.9949748743718 nm -> Rup=0.0, Rdown=0.0
  λ=602.5125628140704 nm -> Rup=0.0, Rdown=0.0
  λ=606.0301507537688 nm -> Rup=0.0, Rdown=0.0
  λ=609.5477386934674 nm -> Rup=0.0, Rdown=0.0
  λ=613.0653266331658 nm -> Rup=0.0, Rdown=0.0
  λ=616.5829145728644 nm -> Rup=0.0, Rdown=0.0
  λ=620.1005025125628 nm -> Rup=0.0, Rdown=0.0
  λ=623.6180904522613 nm -> Rup=0.0, Rdown=0.0
  λ=627.1356783919598 nm -> Rup=0.0, Rdown=0.0
  λ=630.6532663316583 nm -> Rup=1.3985235844247592e-31, Rdown=0.0
  λ=634.1708542713568 nm -> Rup=0.0, Rdown=0.0
  λ=637.6884422110553 nm -> Rup=0.0, Rdown=0.0
  λ=641.2060301507538 nm -> Rup=0.0, Rdown=0.0
  λ=644.7236180904522 nm -> Rup=0.0, Rdown=0.0
  λ=648.2412060301508 nm -> Rup=0.0, Rdown=0.0
  λ=651.7587939698492 nm -> Rup=1.4053481823962762e-31, Rdown=0.0
  λ=655.2763819095478 nm -> Rup=0.0, Rdown=0.0
  λ=658.7939698492462 nm -> Rup=0.0, Rdown=0.0
  λ=662.3115577889448 nm -> Rup=1.4085308760218442e-31, Rdown=0.0
  λ=665.8291457286432 nm -> Rup=1.4095599820746205e-31, Rdown=0.0
  λ=669.3467336683417 nm -> Rup=0.0, Rdown=0.0
  λ=672.8643216080402 nm -> Rup=0.0, Rdown=0.0
  λ=676.3819095477387 nm -> Rup=0.0, Rdown=0.0
  λ=679.8994974874372 nm -> Rup=1.4135256071100719e-31, Rdown=0.0
  λ=683.4170854271357 nm -> Rup=0.0, Rdown=0.0
  λ=686.9346733668342 nm -> Rup=0.0, Rdown=0.0
  λ=690.4522613065327 nm -> Rup=0.0, Rdown=0.0
