Simulation Summary - All Geometry/Material Combos
Timestamp: 20250411_153859
Wave parameters: {'angle': 0, 'polarization': 1}
Number of RCWA modes: 10

---- COMBINATIONS ----

Combo name: c30_g2_m10 - Mat_S1
Geometry:
{'thick_super': 200.0, 'thick_reso': 30.0, 'width_reso': 30.0, 'thick_gap': 2.0, 'thick_mol': 0.0, 'thick_func': 0.0, 'thick_diel': 2.0, 'thick_metalliclayer': 10.0, 'thick_XIAOYI': 0.0, 'thick_accroche': 0.0, 'thick_sub': 200.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'Standard', 'material': 'Air'}}, {'key': 'perm_gap', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_diel', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}, {'key': 'perm_reso', 'material': {'type': 'Standard', 'material': 'Silver'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'Standard', 'material': 'Gold'}}, {'key': 'perm_XIAOYI', 'material': {'type': 'None'}}, {'key': 'perm_accroche', 'material': {'type': 'None'}}, {'key': 'perm_sub', 'material': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'SiO2', 'page': 'Rodriguez-de_Marcos', 'data': 'main/SiO2/nk/Rodriguez-de Marcos.yml'}}]
RI Overrides: {'perm_sub': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'SiO2', 'page': 'Rodriguez-de_Marcos', 'data': 'main/SiO2/nk/Rodriguez-de Marcos.yml'}}
Reflectance points (Rup, Rdown):
  λ=861.3065326633166 nm -> Rup=0.2503985777257613, Rdown=0.27167312673940225
  λ=862.8140703517588 nm -> Rup=0.2399381973809906, Rdown=0.2616032406784516
  λ=864.321608040201 nm -> Rup=0.22956369178995578, Rdown=0.25153960586629365
  λ=865.8291457286432 nm -> Rup=0.21937082404398628, Rdown=0.24157319972440033
  λ=867.3366834170854 nm -> Rup=0.20945172517304486, Rdown=0.23179277006492138
  λ=868.8442211055276 nm -> Rup=0.19989284396791834, Rdown=0.22228302797731303
  λ=870.3517587939698 nm -> Rup=0.19077338787221257, Rdown=0.21312275737939634
  λ=871.8592964824121 nm -> Rup=0.18216383053915755, Rdown=0.2043834035824945
  λ=873.3668341708543 nm -> Rup=0.17412482222616255, Rdown=0.1961278953360331
  λ=874.8743718592965 nm -> Rup=0.1667065123277245, Rdown=0.1884097462655527
  λ=876.3819095477387 nm -> Rup=0.15994807692579804, Rdown=0.18127266395945407
  λ=877.8894472361809 nm -> Rup=0.1538777533837895, Rdown=0.17475033216439848
  λ=879.3969849246231 nm -> Rup=0.14851320244063954, Rdown=0.16886648180474495
  λ=880.9045226130653 nm -> Rup=0.1438620459677284, Rdown=0.16363532639744072
  λ=882.4120603015076 nm -> Rup=0.13992265452033759, Rdown=0.1590621794728183
  λ=883.9195979899498 nm -> Rup=0.1366851256604107, Rdown=0.1551441902559831
  λ=885.427135678392 nm -> Rup=0.13413222723021012, Rdown=0.1518713753693135
  λ=886.9346733668342 nm -> Rup=0.1322405654156565, Rdown=0.1492274758594377
  λ=888.4422110552764 nm -> Rup=0.13098166375382328, Rdown=0.14719094800710356
  λ=889.9497487437186 nm -> Rup=0.13032300075978234, Rdown=0.14573594153511904
  λ=891.4572864321608 nm -> Rup=0.1302289894795877, Rdown=0.1448332157869886
  λ=892.964824120603 nm -> Rup=0.13066191853986103, Rdown=0.1444509068162329
  λ=894.4723618090452 nm -> Rup=0.13158258751762833, Rdown=0.14455551516155066
  λ=895.9798994974874 nm -> Rup=0.13295113349921617, Rdown=0.14511235529548464
  λ=897.4874371859296 nm -> Rup=0.13472755692351351, Rdown=0.14608618152975353
  λ=898.9949748743719 nm -> Rup=0.13687217867610513, Rdown=0.1474416638809085
  λ=900.5025125628141 nm -> Rup=0.13934600156158763, Rdown=0.1491437617504888
  λ=902.0100502512563 nm -> Rup=0.14211102719257482, Rdown=0.15115779075332142
  λ=903.5175879396985 nm -> Rup=0.14513029377404027, Rdown=0.15345031621040464
  λ=905.0251256281407 nm -> Rup=0.148368142202568, Rdown=0.15598861325862065
  λ=906.5326633165829 nm -> Rup=0.15179021884434846, Rdown=0.15874097498750017
  λ=908.0402010050251 nm -> Rup=0.15536347818999724, Rdown=0.1616767420898017
  λ=909.5477386934674 nm -> Rup=0.15905614471354582, Rdown=0.1647662936468275
  λ=911.0552763819096 nm -> Rup=0.1628376505381549, Rdown=0.1679810883790577
  λ=912.5628140703518 nm -> Rup=0.16667851098217903, Rdown=0.17129330353379507
  λ=914.070351758794 nm -> Rup=0.17055024992988901, Rdown=0.1746760287579296
  λ=915.5778894472362 nm -> Rup=0.17442527088115942, Rdown=0.17810306441553314
  λ=917.0854271356784 nm -> Rup=0.17827674143897618, Rdown=0.18154881037055923
  λ=918.5929648241206 nm -> Rup=0.1820784866945848, Rdown=0.18498815490066595
  λ=920.1005025125628 nm -> Rup=0.18580494287287186, Rdown=0.18839610713079918
  λ=921.608040201005 nm -> Rup=0.18943095749459718, Rdown=0.19174852599227343
  λ=923.1155778894472 nm -> Rup=0.19293189388159787, Rdown=0.1950212586372777
  λ=924.6231155778894 nm -> Rup=0.1962835977910653, Rdown=0.19819038727150193
  λ=926.1306532663317 nm -> Rup=0.19946246274809237, Rdown=0.20123225428501235
  λ=927.6381909547739 nm -> Rup=0.20244555829152636, Rdown=0.20412354245809017
  λ=929.1457286432161 nm -> Rup=0.20521083100051551, Rdown=0.20684154644583114
  λ=930.6532663316583 nm -> Rup=0.207737382797891, Rdown=0.20936402906367982
  λ=932.1608040201005 nm -> Rup=0.21000583934481215, Rdown=0.21166985891361767
  λ=933.6683417085427 nm -> Rup=0.21199880197581472, Rdown=0.21373931135636215
  λ=935.1758793969849 nm -> Rup=0.2137013835206724, Rdown=0.21555453203883065
  λ=936.6834170854272 nm -> Rup=0.21510181592119088, Rdown=0.21710009252284418
  λ=938.1909547738694 nm -> Rup=0.2161921420477424, Rdown=0.21836338108203954
  λ=939.6984924623116 nm -> Rup=0.21696880794486392, Rdown=0.21933588722329034
  λ=941.2060301507538 nm -> Rup=0.21743339073759904, Rdown=0.22001340227777666
  λ=942.713567839196 nm -> Rup=0.21759318674359426, Rdown=0.2203966692569714
  λ=944.2211055276382 nm -> Rup=0.21746166361700212, Rdown=0.2204920048255953
  λ=945.7286432160804 nm -> Rup=0.21705873495467068, Rdown=0.22031170371730122
  λ=947.2361809045226 nm -> Rup=0.2164108001345644, Rdown=0.2198742047656346
  λ=948.7437185929648 nm -> Rup=0.2155504643313731, Rdown=0.21920411844977455
  λ=950.251256281407 nm -> Rup=0.21451596709210372, Rdown=0.21833187020297468
  λ=951.7587939698492 nm -> Rup=0.2133503021651525, Rdown=0.21729300571250915
  λ=953.2663316582915 nm -> Rup=0.21210002451688723, Rdown=0.21612728926889327
  λ=954.7738693467337 nm -> Rup=0.21081383195899786, Rdown=0.21487752163075624
  λ=956.2814070351759 nm -> Rup=0.20954100367942427, Rdown=0.21358814954341268
  λ=957.7889447236181 nm -> Rup=0.2083297808692802, Rdown=0.21230380808335253
  λ=959.2964824120603 nm -> Rup=0.20722577419227622, Rdown=0.2110679780777399
  λ=960.8040201005026 nm -> Rup=0.20627061707752734, Rdown=0.20992144588695194
  λ=962.3115577889448 nm -> Rup=0.205500798531856, Rdown=0.2089011819236103
  λ=963.819095477387 nm -> Rup=0.2049468219620203, Rdown=0.20803940244745076
