Simulation Summary - All Geometry/Material Combos
Timestamp: 20250410_175721
Wave parameters: {'angle': 0, 'polarization': 1}
Number of RCWA modes: 10

---- COMBINATIONS ----

Combo name: Geom_S2_diel=0_M=0_F=1 - Mat_S2_Tf=1_Pf=None_Pd=1.45**2
Geometry:
{'thick_super': 200.0, 'thick_reso': 30.0, 'width_reso': 30.0, 'thick_gap': 3.0, 'thick_mol': 0.0, 'thick_func': 1.0, 'thick_diel': 0.0, 'thick_metalliclayer': 10.0, 'thick_accroche': 3.0, 'thick_sub': 200.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_gap', 'material': {'type': 'None'}}, {'key': 'perm_diel', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}, {'key': 'perm_reso', 'material': {'type': 'Standard', 'material': 'Silver'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'Standard', 'material': 'Gold'}}, {'key': 'perm_accroche', 'material': {'type': 'Standard', 'material': 'Aluminium'}}, {'key': 'perm_sub', 'material': {'type': 'Custom', 'expression': '1.50**2'}}]
RI Overrides: {}
Reflectance points (Rup, Rdown):
  λ=740.2010050251256 nm -> Rup=0.49581707267720604, Rdown=0.4214171370827689
  λ=742.964824120603 nm -> Rup=0.49703793922842154, Rdown=0.42115590106241296
  λ=745.7286432160804 nm -> Rup=0.4983536410251537, Rdown=0.4208080426144069
  λ=748.4924623115578 nm -> Rup=0.499758388024939, Rdown=0.42040374698015626
  λ=751.2562814070352 nm -> Rup=0.5012194922399891, Rdown=0.4199599161218243
  λ=754.0201005025126 nm -> Rup=0.5026912569772495, Rdown=0.41948213923845434
  λ=756.78391959799 nm -> Rup=0.504127644392766, Rdown=0.4189690418900412
  λ=759.5477386934674 nm -> Rup=0.5054902823014876, Rdown=0.4184167076327516
  λ=762.3115577889448 nm -> Rup=0.5067516646356401, Rdown=0.4178218893891291
  λ=765.0753768844222 nm -> Rup=0.5078950585737945, Rdown=0.4171837693834724
  λ=767.8391959798995 nm -> Rup=0.5089127896068794, Rdown=0.4165045797902336
  λ=770.6030150753769 nm -> Rup=0.50980407021313, Rdown=0.4157895190155176
  λ=773.3668341708543 nm -> Rup=0.5105729796299975, Rdown=0.4150463137933521
  λ=776.1306532663317 nm -> Rup=0.511226819933201, Rdown=0.41428464826019556
  λ=778.894472361809 nm -> Rup=0.5117748749608177, Rdown=0.4135155783630506
  λ=781.6582914572864 nm -> Rup=0.512227523717962, Rdown=0.412750987825155
  λ=784.4221105527638 nm -> Rup=0.5125956523112148, Rdown=0.4120031138400179
  λ=787.1859296482412 nm -> Rup=0.5128903315508183, Rdown=0.41128416659818934
  λ=789.9497487437186 nm -> Rup=0.5131227591723329, Rdown=0.4106060779301199
  λ=792.713567839196 nm -> Rup=0.513304488586246, Rdown=0.40998043144721635
  λ=795.4773869346734 nm -> Rup=0.5134479581634888, Rdown=0.40941863463713585
  λ=798.2412060301508 nm -> Rup=0.5135672683347662, Rdown=0.40893236775112485
  λ=801.0050251256282 nm -> Rup=0.5136790103708485, Rdown=0.40853425609906674
  λ=803.7688442211056 nm -> Rup=0.5138027639129971, Rdown=0.40823855549856636
  λ=806.532663316583 nm -> Rup=0.5139607773473426, Rdown=0.40806147796016673
  λ=809.2964824120603 nm -> Rup=0.514176512836597, Rdown=0.4080207634019595
  λ=812.0603015075377 nm -> Rup=0.5144722434916796, Rdown=0.40813435817707
  λ=814.8241206030151 nm -> Rup=0.5148664814910515, Rdown=0.4084185268654205
  λ=817.5879396984925 nm -> Rup=0.5153722226993032, Rdown=0.40888608198813237
  λ=820.3517587939698 nm -> Rup=0.5159965868719366, Rdown=0.4095453637569057
  λ=823.1155778894472 nm -> Rup=0.5167417180978582, Rdown=0.4104001809567296
  λ=825.8793969849246 nm -> Rup=0.5176063191634442, Rdown=0.41145047717542965
  λ=828.643216080402 nm -> Rup=0.5185871651225761, Rdown=0.41269329574156866
  λ=831.4070351758794 nm -> Rup=0.5196802161024328, Rdown=0.4141236911649503
  λ=834.1708542713568 nm -> Rup=0.5208812508647963, Rdown=0.4157354163360333
  λ=836.9346733668342 nm -> Rup=0.5221861197342044, Rdown=0.4175213656683027
  λ=839.6984924623116 nm -> Rup=0.5235907640534476, Rdown=0.41947382943529904
  λ=842.462311557789 nm -> Rup=0.5250911261561733, Rdown=0.4215846300081414
  λ=845.2261306532664 nm -> Rup=0.5266830299733661, Rdown=0.42384519727326164
  λ=847.9899497487438 nm -> Rup=0.5283620739583406, Rdown=0.42624662010981484
  λ=850.7537688442212 nm -> Rup=0.5301235523323886, Rdown=0.42877969349095163
  λ=853.5175879396985 nm -> Rup=0.5319624063020584, Rdown=0.43143496907037815
  λ=856.2814070351759 nm -> Rup=0.5338732001933013, Rdown=0.4342028103134811
  λ=859.0452261306533 nm -> Rup=0.535850115137172, Rdown=0.43707344980821833
