Simulation Summary - All Geometry/Material Combos
Timestamp: 20250318_113348
Wave parameters: {'angle': 0, 'polarization': 1, 'wavelength': np.float64(1000.0)}
Number of RCWA modes: 20

---- COMBINATIONS ----

Combo name: Geom_S1_based_on_schema - S1
Geometry:
{'thick_super': 200.0, 'width_reso': 30.0, 'thick_reso': 30.0, 'thick_gap': 3.0, 'thick_func': 1.0, 'thick_mol': 0.0, 'thick_metalliclayer': 10.0, 'thick_sub': 200.0, 'thick_accroche': 0.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_dielec', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_sub', 'material': {'type': 'Standard', 'material': 'ITO'}}, {'key': 'perm_reso', 'material': {'type': 'Standard', 'material': 'Ag'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'Standard', 'material': 'Au'}}, {'key': 'perm_accroche', 'material': {'type': 'None'}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}]
RI Overrides: {}
Reflectance points (Rup, Rdown):
  λ=709.7989949748744 nm -> Rup=0.101677070673458, Rdown=1.5516256575998047e-06
  λ=712.5628140703518 nm -> Rup=0.0899154654910984, Rdown=1.7013571308208559e-06
  λ=715.3266331658292 nm -> Rup=0.0845085780924641, Rdown=1.848054347243639e-06
  λ=718.0904522613066 nm -> Rup=0.0853765707342194, Rdown=1.989844713941161e-06
  λ=720.854271356784 nm -> Rup=0.09233630042367975, Rdown=2.1247979670547928e-06
  λ=723.6180904522613 nm -> Rup=0.10514991090182266, Rdown=2.2506169041515397e-06
  λ=726.3819095477387 nm -> Rup=0.1234691323129893, Rdown=2.36470456605304e-06
  λ=729.1457286432161 nm -> Rup=0.14674109956178089, Rdown=2.464610971849048e-06
  λ=731.9095477386935 nm -> Rup=0.1741629805586627, Rdown=2.5486008769640893e-06
  λ=734.6733668341708 nm -> Rup=0.20472511915754107, Rdown=2.6160463616501215e-06
  λ=737.4371859296482 nm -> Rup=0.2373207968199886, Rdown=2.6675055490557017e-06
  λ=740.2010050251256 nm -> Rup=0.27087265249129305, Rdown=2.7045307906763886e-06
  λ=742.964824120603 nm -> Rup=0.30443501209919127, Rdown=2.729337075025058e-06
  λ=745.7286432160804 nm -> Rup=0.337255422250431, Rdown=2.7444505845606287e-06
  λ=748.4924623115578 nm -> Rup=0.3687977750784386, Rdown=2.752403165951444e-06
  λ=751.2562814070352 nm -> Rup=0.39873699924408357, Rdown=2.755490171149223e-06
  λ=754.0201005025126 nm -> Rup=0.426934109019033, Rdown=2.7555886803569142e-06
  λ=756.78391959799 nm -> Rup=0.4533963548772783, Rdown=2.7540398878705108e-06
  λ=759.5477386934674 nm -> Rup=0.47822576255420146, Rdown=2.7516166280155462e-06
  λ=762.3115577889448 nm -> Rup=0.5015628337508928, Rdown=2.7485985352342822e-06
  λ=765.0753768844222 nm -> Rup=0.5235375485797092, Rdown=2.7449462576845396e-06
  λ=767.8391959798995 nm -> Rup=0.54424022721503, Rdown=2.7405181617422228e-06
  λ=770.6030150753769 nm -> Rup=0.563716919303478, Rdown=2.735250202938406e-06
  λ=773.3668341708543 nm -> Rup=0.5819829556441214, Rdown=2.729246059845914e-06
  λ=776.1306532663317 nm -> Rup=0.5990425584349109, Rdown=2.722777340837943e-06
  λ=778.894472361809 nm -> Rup=0.6149046316806024, Rdown=2.716231012641575e-06
  λ=781.6582914572864 nm -> Rup=0.6295908948896544, Rdown=2.7100457881132466e-06
  λ=784.4221105527638 nm -> Rup=0.6431373807283705, Rdown=2.7046630835449913e-06
  λ=787.1859296482412 nm -> Rup=0.6555922154527208, Rdown=2.7004998958206546e-06
  λ=789.9497487437186 nm -> Rup=0.667012384089174, Rdown=2.6979397736021597e-06
  λ=792.713567839196 nm -> Rup=0.6774612192143944, Rdown=2.697333962977445e-06
  λ=795.4773869346734 nm -> Rup=0.687007442485019, Rdown=2.699004530226377e-06
  λ=798.2412060301508 nm -> Rup=0.6957259215659279, Rdown=2.7032422044061574e-06
