  λ=767.3366834170854 nm -> Rup=0.4578005879249958, Rdown=0.8352018557930972
  λ=771.105527638191 nm -> Rup=0.42565380991587815, Rdown=0.8347936256623278
  λ=774.8743718592965 nm -> Rup=0.3943542195648901, Rdown=0.8338990580267654
  λ=778.643216080402 nm -> Rup=0.3656777806355957, Rdown=0.8326181304330583
  λ=782.4120603015076 nm -> Rup=0.34173704568535174, Rdown=0.8311104914980317
  λ=786.1809045226131 nm -> Rup=0.3247081522194192, Rdown=0.8295960431660455
  λ=789.9497487437186 nm -> Rup=0.31639544321109553, Rdown=0.8283340216111291
  λ=793.7185929648242 nm -> Rup=0.3178186805054722, Rdown=0.8275733647569169
  λ=797.4874371859296 nm -> Rup=0.32901535522418845, Rdown=0.8275047718987302
  λ=801.2562814070352 nm -> Rup=0.3491006381156096, Rdown=0.8282366280729558
  λ=805.0251256281407 nm -> Rup=0.376486725446315, Rdown=0.8297946015966868
  λ=808.7939698492462 nm -> Rup=0.4091675403904661, Rdown=0.8321277229852819
  λ=812.5628140703518 nm -> Rup=0.4450294856310878, Rdown=0.8351243414657373
  λ=816.3316582914573 nm -> Rup=0.4821420229164019, Rdown=0.8386387907502972
  λ=820.1005025125628 nm -> Rup=0.5189641030793645, Rdown=0.8425176947397252
  λ=823.8693467336684 nm -> Rup=0.5544266198402548, Rdown=0.8466224582045687
  λ=827.6381909547739 nm -> Rup=0.58701495148793, Rdown=0.8505190220133957
  λ=831.4070351758794 nm -> Rup=0.6151315890783519, Rdown=0.8536272999304532
  λ=835.1758793969849 nm -> Rup=0.6409667469080155, Rdown=0.8566975851445063
  λ=838.9447236180905 nm -> Rup=0.6645888520134655, Rdown=0.8597036914043027
  λ=842.713567839196 nm -> Rup=0.6860977731790403, Rdown=0.8626247223170513
  λ=846.4824120603015 nm -> Rup=0.7056199841038132, Rdown=0.8654494251243271
  λ=850.251256281407 nm -> Rup=0.7233064734099979, Rdown=0.8681720695649847
  λ=854.0201005025126 nm -> Rup=0.7393261879369584, Rdown=0.8707895071307703
  λ=857.7889447236181 nm -> Rup=0.7538544022756296, Rdown=0.8733006221600395
  λ=861.5577889447236 nm -> Rup=0.7670590655025263, Rdown=0.8757074644765023
  λ=865.3266331658292 nm -> Rup=0.7790899205043025, Rdown=0.8780170140432176
  λ=869.0954773869347 nm -> Rup=0.7900740716198964, Rdown=0.8802340966601232
  λ=872.8643216080402 nm -> Rup=0.8001180601149324, Rdown=0.8823640361077761
  λ=876.6331658291457 nm -> Rup=0.8093131845198983, Rdown=0.8844111084830978
  λ=880.4020100502513 nm -> Rup=0.8177408630908316, Rdown=0.8863796480078323
  λ=884.1708542713568 nm -> Rup=0.8254765438646144, Rdown=0.8882736381563726
  λ=887.9396984924623 nm -> Rup=0.8325921378758236, Rdown=0.8900969684183726
  λ=891.7085427135679 nm -> Rup=0.8391569242858378, Rdown=0.8918538968925299
  λ=895.4773869346734 nm -> Rup=0.8452366290532131, Rdown=0.8935483008107857
  λ=899.2462311557789 nm -> Rup=0.8508909067603233, Rdown=0.895184772918403
  λ=903.0150753768844 nm -> Rup=0.8561702816512426, Rdown=0.8967656301596959
  λ=906.78391959799 nm -> Rup=0.8611143747647086, Rdown=0.8982955431589261
  λ=910.5527638190955 nm -> Rup=0.8657525307015425, Rdown=0.8997791602211201
  λ=914.321608040201 nm -> Rup=0.8701065416121349, Rdown=0.9012199920492762
  λ=918.0904522613065 nm -> Rup=0.8741940648803342, Rdown=0.9026187948682535
  λ=921.8592964824121 nm -> Rup=0.8780313530891368, Rdown=0.9039752200878767
  λ=925.6281407035176 nm -> Rup=0.8816348639562682, Rdown=0.9052929347464517
  λ=929.3969849246231 nm -> Rup=0.8850218646702724, Rdown=0.906574796068538
  λ=933.1658291457287 nm -> Rup=0.8882103790108812, Rdown=0.9078227349545311
  λ=936.9346733668342 nm -> Rup=0.8912186490859981, Rdown=0.9090373435576924
  λ=940.7035175879397 nm -> Rup=0.8940642101161148, Rdown=0.9102178959831196
  λ=944.4723618090452 nm -> Rup=0.8967628301611652, Rdown=0.9113684169877908
  λ=948.2412060301508 nm -> Rup=0.8993276419122473, Rdown=0.9124903971480951
