Simulation Summary - All Geometry/Material Combos
Timestamp: 20250411_115039
Wave parameters: {'angle': 0, 'polarization': 1}
Number of RCWA modes: 10

---- COMBINATIONS ----

Combo name: test - test
Geometry:
{'thick_super': 200.0, 'thick_reso': 30.0, 'width_reso': 30.0, 'thick_gap': 3.0, 'thick_mol': 0.5, 'thick_func': 1.0, 'thick_diel': 1.0, 'thick_metalliclayer': 10.0, 'thick_XIAOYI': 2.0, 'thick_accroche': 1.0, 'thick_sub': 200.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_gap', 'material': {'type': 'None'}}, {'key': 'perm_diel', 'material': {'type': 'None'}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}, {'key': 'perm_reso', 'material': {'type': 'None'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'None'}}, {'key': 'perm_XIAOYI', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_accroche', 'material': {'type': 'None'}}, {'key': 'perm_sub', 'material': {'type': 'None'}}]
RI Overrides: {}
Reflectance points (Rup, Rdown):
  λ=778.894472361809 nm -> Rup=7.907625976903078e-05, Rdown=7.907625976902839e-05
  λ=781.6582914572864 nm -> Rup=7.851819123689493e-05, Rdown=7.851819123689582e-05
  λ=784.4221105527638 nm -> Rup=7.796600914530519e-05, Rdown=7.796600914530415e-05
  λ=787.1859296482412 nm -> Rup=7.741963100544969e-05, Rdown=7.741963100544923e-05
  λ=789.9497487437186 nm -> Rup=7.687897576828558e-05, Rdown=7.687897576828675e-05
  λ=792.713567839196 nm -> Rup=7.634396379448774e-05, Rdown=7.634396379448615e-05
  λ=795.4773869346734 nm -> Rup=7.581451682512031e-05, Rdown=7.581451682512078e-05
  λ=798.2412060301508 nm -> Rup=7.529055795304228e-05, Rdown=7.529055795304228e-05
  λ=801.0050251256282 nm -> Rup=7.477201159497174e-05, Rdown=7.477201159497289e-05
  λ=803.7688442211056 nm -> Rup=7.425880346424531e-05, Rdown=7.42588034642459e-05
  λ=806.532663316583 nm -> Rup=7.375086054421773e-05, Rdown=7.37508605442163e-05
  λ=809.2964824120603 nm -> Rup=7.324811106228896e-05, Rdown=7.324811106228762e-05
  λ=812.0603015075377 nm -> Rup=7.275048446457115e-05, Rdown=7.275048446457036e-05
  λ=814.8241206030151 nm -> Rup=7.225791139113352e-05, Rdown=7.225791139113431e-05
  λ=817.5879396984925 nm -> Rup=7.17703236518473e-05, Rdown=7.177032365184695e-05
  λ=820.3517587939698 nm -> Rup=7.128765420277933e-05, Rdown=7.128765420277767e-05
  λ=823.1155778894472 nm -> Rup=7.080983712316288e-05, Rdown=7.08098371231607e-05
  λ=825.8793969849246 nm -> Rup=7.033680759289108e-05, Rdown=7.033680759289121e-05
  λ=828.643216080402 nm -> Rup=6.986850187054399e-05, Rdown=6.986850187054437e-05
  λ=831.4070351758794 nm -> Rup=6.940485727191292e-05, Rdown=6.940485727191405e-05
  λ=834.1708542713568 nm -> Rup=6.894581214903524e-05, Rdown=6.894581214903633e-05
  λ=836.9346733668342 nm -> Rup=6.849130586970981e-05, Rdown=6.849130586970832e-05
  λ=839.6984924623116 nm -> Rup=6.804127879746638e-05, Rdown=6.804127879746784e-05
  λ=842.462311557789 nm -> Rup=6.75956722720323e-05, Rdown=6.759567227203117e-05
  λ=845.2261306532664 nm -> Rup=6.715442859019667e-05, Rdown=6.71544285901959e-05
  λ=847.9899497487438 nm -> Rup=6.671749098715177e-05, Rdown=6.671749098715242e-05
  λ=850.7537688442212 nm -> Rup=6.628480361823438e-05, Rdown=6.62848036182341e-05
  λ=853.5175879396985 nm -> Rup=6.585631154108499e-05, Rdown=6.585631154108496e-05
  λ=856.2814070351759 nm -> Rup=6.543196069821517e-05, Rdown=6.543196069821459e-05
  λ=859.0452261306533 nm -> Rup=6.501169789995718e-05, Rdown=6.501169789995832e-05
  λ=861.8090452261307 nm -> Rup=6.459547080780709e-05, Rdown=6.459547080780706e-05
  λ=864.572864321608 nm -> Rup=6.418322791812793e-05, Rdown=6.418322791812734e-05
  λ=867.3366834170854 nm -> Rup=6.377491854621998e-05, Rdown=6.377491854621853e-05
  λ=870.1005025125628 nm -> Rup=6.337049281075066e-05, Rdown=6.337049281075124e-05
  λ=872.8643216080402 nm -> Rup=6.296990161852276e-05, Rdown=6.296990161852303e-05
  λ=875.6281407035176 nm -> Rup=6.257309664957498e-05, Rdown=6.257309664957345e-05
  λ=878.391959798995 nm -> Rup=6.21800303426168e-05, Rdown=6.218003034261525e-05
  λ=881.1557788944724 nm -> Rup=6.179065588078087e-05, Rdown=6.179065588078029e-05
  λ=883.9195979899498 nm -> Rup=6.140492717768608e-05, Rdown=6.14049271776863e-05
  λ=886.6834170854272 nm -> Rup=6.102279886380154e-05, Rdown=6.1022798863800306e-05
  λ=889.4472361809046 nm -> Rup=6.0644226273108165e-05, Rdown=6.064422627310749e-05
  λ=892.211055276382 nm -> Rup=6.026916543005306e-05, Rdown=6.026916543005329e-05
  λ=894.9748743718593 nm -> Rup=5.9897573036779546e-05, Rdown=5.989757303677873e-05
  λ=897.7386934673367 nm -> Rup=5.952940646063075e-05, Rdown=5.952940646063142e-05
