Simulation Summary - All Geometry/Material Combos
Timestamp: 20250318_114601
Wave parameters: {'angle': 0, 'polarization': 1, 'wavelength': np.float64(1000.0)}
Number of RCWA modes: 20

---- COMBINATIONS ----

Combo name: Geom_S1_based_on_schema - S1
Geometry:
{'thick_super': 200.0, 'width_reso': 30.0, 'thick_reso': 30.0, 'thick_gap': 3.0, 'thick_func': 1.0, 'thick_mol': 0.0, 'thick_metalliclayer': 10.0, 'thick_sub': 200.0, 'thick_accroche': 0.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_dielec', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_sub', 'material': {'type': 'Standard', 'material': 'ITO'}}, {'key': 'perm_reso', 'material': {'type': 'Standard', 'material': 'Ag'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'Standard', 'material': 'Au'}}, {'key': 'perm_accroche', 'material': {'type': 'None'}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}]
RI Overrides: {}
Reflectance points (Rup, Rdown):
  λ=803.7688442211056 nm -> Rup=0.11272088012252715, Rdown=0.07926507073923107
  λ=806.532663316583 nm -> Rup=0.11859581028868399, Rdown=0.08337307611948716
  λ=809.2964824120603 nm -> Rup=0.12441278793418971, Rdown=0.08742888444221739
  λ=812.0603015075377 nm -> Rup=0.13014895769075865, Rdown=0.09142841622155769
  λ=814.8241206030151 nm -> Rup=0.13581397936534664, Rdown=0.09535137444582088
  λ=817.5879396984925 nm -> Rup=0.14143157601118891, Rdown=0.09921543465696532
  λ=820.3517587939698 nm -> Rup=0.14703561114761002, Rdown=0.10304317632967645
  λ=823.1155778894472 nm -> Rup=0.15266012460254635, Rdown=0.1068532603554829
  λ=825.8793969849246 nm -> Rup=0.15832887799961792, Rdown=0.11066001159113383
  λ=828.643216080402 nm -> Rup=0.16404729103727897, Rdown=0.11449140433858612
  λ=831.4070351758794 nm -> Rup=0.16981615631358496, Rdown=0.1183254987125238
  λ=834.1708542713568 nm -> Rup=0.17561868075475448, Rdown=0.1221707599280097
  λ=836.9346733668342 nm -> Rup=0.18143624433079247, Rdown=0.12601514029800337
  λ=839.6984924623116 nm -> Rup=0.1872492814683434, Rdown=0.12984454877792448
  λ=842.462311557789 nm -> Rup=0.1930397280880783, Rdown=0.13364078118515088
  λ=845.2261306532664 nm -> Rup=0.19878918009289004, Rdown=0.13740364955449214
  λ=847.9899497487438 nm -> Rup=0.20448628023858123, Rdown=0.1411137676570832
  λ=850.7537688442212 nm -> Rup=0.21011852769934816, Rdown=0.14477267697777724
  λ=853.5175879396985 nm -> Rup=0.2156789674763194, Rdown=0.14836801193014484
  λ=856.2814070351759 nm -> Rup=0.22116146495371503, Rdown=0.15189720523076589
  λ=859.0452261306533 nm -> Rup=0.22656181263735506, Rdown=0.15535248379009936
  λ=861.8090452261307 nm -> Rup=0.2318742020411802, Rdown=0.1587440549139533
  λ=864.572864321608 nm -> Rup=0.2371005816013443, Rdown=0.16204841497654274
  λ=867.3366834170854 nm -> Rup=0.2422347317994793, Rdown=0.16528286097653958
  λ=870.1005025125628 nm -> Rup=0.24727622523874535, Rdown=0.16844185548404467
  λ=872.8643216080402 nm -> Rup=0.2522275063798453, Rdown=0.1715098622209516
  λ=875.6281407035176 nm -> Rup=0.257084104151136, Rdown=0.17450984050493368
  λ=878.391959798995 nm -> Rup=0.2618508005789551, Rdown=0.17742546270855153
  λ=881.1557788944724 nm -> Rup=0.266530016506355, Rdown=0.18026844453842428
  λ=883.9195979899498 nm -> Rup=0.2711287869641757, Rdown=0.1830400514671066
  λ=886.6834170854272 nm -> Rup=0.27565669503839646, Rdown=0.1857417032514302
  λ=889.4472361809046 nm -> Rup=0.2801263586007205, Rdown=0.18837647992918777
  λ=892.211055276382 nm -> Rup=0.2845477776031577, Rdown=0.19096329722395672
  λ=894.9748743718593 nm -> Rup=0.288931422553642, Rdown=0.19350908908672995
  λ=897.7386934673367 nm -> Rup=0.29328851062963296, Rdown=0.19601356068374526
  λ=900.5025125628141 nm -> Rup=0.29762411789214144, Rdown=0.19848355032079792
  λ=903.2663316582915 nm -> Rup=0.3019411145189389, Rdown=0.20091329899358543
  λ=906.0301507537688 nm -> Rup=0.30623612172917963, Rdown=0.20331992063529578
  λ=908.7939698492462 nm -> Rup=0.3105090141239694, Rdown=0.20569393732762678
  λ=911.5577889447236 nm -> Rup=0.31475943898410785, Rdown=0.20802831817163714
  λ=914.321608040201 nm -> Rup=0.31898015103606836, Rdown=0.21033183344526743
  λ=917.0854271356784 nm -> Rup=0.32317380894970055, Rdown=0.2125867158510872
  λ=919.8492462311558 nm -> Rup=0.32733240605817865, Rdown=0.2148155238543021
  λ=922.6130653266332 nm -> Rup=0.33146116196897113, Rdown=0.21698562553576783
  λ=925.3768844221106 nm -> Rup=0.33555393492156393, Rdown=0.21912033966112143
  λ=928.140703517588 nm -> Rup=0.3396095971404984, Rdown=0.22121961266882356
  λ=930.9045226130654 nm -> Rup=0.34363113523421474, Rdown=0.22327367385743507
  λ=933.6683417085428 nm -> Rup=0.3476187894733125, Rdown=0.22527476842640973
  λ=936.4321608040202 nm -> Rup=0.35156806384310796, Rdown=0.22724659878216247
  λ=939.1959798994975 nm -> Rup=0.3554814084653695, Rdown=0.22916940078856593
  λ=941.9597989949749 nm -> Rup=0.359361302514596, Rdown=0.2310380494661754
  λ=944.7236180904523 nm -> Rup=0.36320297672528845, Rdown=0.23287826238337594
  λ=947.4874371859297 nm -> Rup=0.3670097976605102, Rdown=0.23467160226055087
  λ=950.251256281407 nm -> Rup=0.37077779479561135, Rdown=0.23641807512701288
  λ=953.0150753768844 nm -> Rup=0.3745067197300723, Rdown=0.23812778701501175
  λ=955.7788944723618 nm -> Rup=0.3781980455898634, Rdown=0.23978463179352436
  λ=958.5427135678392 nm -> Rup=0.3818504095947274, Rdown=0.2413955976344393
  λ=961.3065326633166 nm -> Rup=0.3854593839562637, Rdown=0.24297233372244129
  λ=964.070351758794 nm -> Rup=0.3890253033192893, Rdown=0.24449634565027153
  λ=966.8341708542714 nm -> Rup=0.3925482445961697, Rdown=0.24597389484592833
  λ=969.5979899497488 nm -> Rup=0.3960255353607967, Rdown=0.2473954586582568
  λ=972.3618090452262 nm -> Rup=0.3994556327334356, Rdown=0.24876594640822086
  λ=975.1256281407036 nm -> Rup=0.40284090924440036, Rdown=0.2500831096150195
  λ=977.8894472361809 nm -> Rup=0.40618085097873646, Rdown=0.25135784561693053
  λ=980.6532663316583 nm -> Rup=0.4094809374159022, Rdown=0.2525730593997425
  λ=983.4170854271357 nm -> Rup=0.4127454107390012, Rdown=0.25374923147445033
  λ=986.1809045226131 nm -> Rup=0.4159851552181333, Rdown=0.2548723974309362
  λ=988.9447236180905 nm -> Rup=0.41921194604869844, Rdown=0.25594652464276574
  λ=991.7085427135679 nm -> Rup=0.4224396354835524, Rdown=0.2569836818736248
  λ=994.4723618090453 nm -> Rup=0.42567846729615877, Rdown=0.25798877750220284
  λ=997.2361809045226 nm -> Rup=0.4289438499616493, Rdown=0.2589611953859616
  λ=1000.0 nm -> Rup=0.43223886175247495, Rdown=0.25992520142973413
----------------------------------------
