Simulation Summary - All Geometry/Material Combos
Timestamp: 20250410_175429
Wave parameters: {'angle': 0, 'polarization': 1}
Number of RCWA modes: 10

---- COMBINATIONS ----

Combo name: Geom_S2_func=1 - Mat_S2_func=1.45**2
Geometry:
{'thick_super': 200.0, 'thick_reso': 30.0, 'width_reso': 30.0, 'thick_gap': 3.0, 'thick_mol': 0.0, 'thick_func': 1.0, 'thick_diel': 0.0, 'thick_metalliclayer': 10.0, 'thick_accroche': 3.0, 'thick_sub': 200.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_gap', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_diel', 'material': {'type': 'None'}}, {'key': 'perm_func', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}, {'key': 'perm_reso', 'material': {'type': 'Standard', 'material': 'Silver'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'Standard', 'material': 'Gold'}}, {'key': 'perm_accroche', 'material': {'type': 'Standard', 'material': 'Aluminium'}}, {'key': 'perm_sub', 'material': {'type': 'Custom', 'expression': '1.50**2'}}]
RI Overrides: {}
Reflectance points (Rup, Rdown):
  λ=745.7286432160804 nm -> Rup=0.322065302454203, Rdown=0.35139283784599606
  λ=748.4924623115578 nm -> Rup=0.327409541429048, Rdown=0.3513643461414932
  λ=751.2562814070352 nm -> Rup=0.33301167755578504, Rdown=0.3513023551227276
  λ=754.0201005025126 nm -> Rup=0.3389035987950192, Rdown=0.3513061020300709
  λ=756.78391959799 nm -> Rup=0.34503190313735504, Rdown=0.35143163809940364
  λ=759.5477386934674 nm -> Rup=0.3512936300164438, Rdown=0.3516952120720853
  λ=762.3115577889448 nm -> Rup=0.35757047951479365, Rdown=0.3520849369227367
  λ=765.0753768844222 nm -> Rup=0.3637525968081703, Rdown=0.35257387499970466
  λ=767.8391959798995 nm -> Rup=0.3697507052839983, Rdown=0.35313051666756573
  λ=770.6030150753769 nm -> Rup=0.37549943908341255, Rdown=0.35372546911005337
  λ=773.3668341708543 nm -> Rup=0.3809555327110972, Rdown=0.35433481143823076
  λ=776.1306532663317 nm -> Rup=0.38609373871771213, Rdown=0.354941110777662
  λ=778.894472361809 nm -> Rup=0.39090223420724, Rdown=0.3555330327896536
  λ=781.6582914572864 nm -> Rup=0.3953784044273256, Rdown=0.35610422147539195
  λ=784.4221105527638 nm -> Rup=0.39952536707039005, Rdown=0.35665187337276194
  λ=787.1859296482412 nm -> Rup=0.40334935748227463, Rdown=0.3571752617904561
  λ=789.9497487437186 nm -> Rup=0.406858035503617, Rdown=0.3576743865746791
  λ=792.713567839196 nm -> Rup=0.41005981620589405, Rdown=0.35814892223517164
  λ=795.4773869346734 nm -> Rup=0.41296439437621696, Rdown=0.35859769084711995
  λ=798.2412060301508 nm -> Rup=0.4155846344526291, Rdown=0.35901895558662433
  λ=801.0050251256282 nm -> Rup=0.41793980998877633, Rdown=0.35941183625318757
  λ=803.7688442211056 nm -> Rup=0.4200596801622211, Rdown=0.3597789646826066
  λ=806.532663316583 nm -> Rup=0.4219881052004303, Rdown=0.3601300124853698
  λ=809.2964824120603 nm -> Rup=0.4237841897593898, Rdown=0.3604849936696034
  λ=812.0603015075377 nm -> Rup=0.4255190376133058, Rdown=0.36087567321720865
  λ=814.8241206030151 nm -> Rup=0.4272677092886013, Rdown=0.3613436471337205
  λ=817.5879396984925 nm -> Rup=0.42909847290496334, Rdown=0.36193500239492304
  λ=820.3517587939698 nm -> Rup=0.43106325179261606, Rdown=0.3626932536589571
  λ=823.1155778894472 nm -> Rup=0.4331927253199232, Rdown=0.3636531736465637
  λ=825.8793969849246 nm -> Rup=0.43549707756313777, Rdown=0.3648374787145772
  λ=828.643216080402 nm -> Rup=0.4379708103132804, Rdown=0.36625672621927124
  λ=831.4070351758794 nm -> Rup=0.4405989637093567, Rdown=0.3679114481712538
  λ=834.1708542713568 nm -> Rup=0.4433626018192753, Rdown=0.36979514018219495
  λ=836.9346733668342 nm -> Rup=0.44624258283723967, Rdown=0.37189705678511353
  λ=839.6984924623116 nm -> Rup=0.4492215918216326, Rdown=0.37420432040322754
  λ=842.462311557789 nm -> Rup=0.45228487759109, Rdown=0.37670327973536066
  λ=845.2261306532664 nm -> Rup=0.4554202103232316, Rdown=0.3793802648413388
  λ=847.9899497487438 nm -> Rup=0.45861746664645203, Rdown=0.38222193657966735
  λ=850.7537688442212 nm -> Rup=0.46186810057797545, Rdown=0.38521539926765863
  λ=853.5175879396985 nm -> Rup=0.46516463730464697, Rdown=0.38834819430942613
  λ=856.2814070351759 nm -> Rup=0.46850024714061766, Rdown=0.39160824612237627
  λ=859.0452261306533 nm -> Rup=0.47186841210959896, Rdown=0.39498379808522627
  λ=861.8090452261307 nm -> Rup=0.4752626758869846, Rdown=0.39846335488287526
  λ=864.572864321608 nm -> Rup=0.4786764595595253, Rdown=0.4020356353512527
  λ=867.3366834170854 nm -> Rup=0.4821029243390504, Rdown=0.4056895335392518
  λ=870.1005025125628 nm -> Rup=0.4855348642163379, Rdown=0.40941408280908403
  λ=872.8643216080402 nm -> Rup=0.48896461463001, Rdown=0.4131984168255184
  λ=875.6281407035176 nm -> Rup=0.4923839667158823, Rdown=0.41703172132558414
  λ=878.391959798995 nm -> Rup=0.4957840804473038, Rdown=0.420903171159273
  λ=881.1557788944724 nm -> Rup=0.49915539420065425, Rdown=0.42480184812790794
  λ=883.9195979899498 nm -> Rup=0.5024875335676553, Rdown=0.42871663676910826
  λ=886.6834170854272 nm -> Rup=0.505769229387963, Rdown=0.4326360978625191
  λ=889.4472361809046 nm -> Rup=0.5089882650887361, Rdown=0.43654832377672503
  λ=892.211055276382 nm -> Rup=0.5121314877055891, Rdown=0.44044078691139754
  λ=894.9748743718593 nm -> Rup=0.5151849364862758, Rdown=0.4443002038000876
  λ=897.7386934673367 nm -> Rup=0.5181341678072375, Rdown=0.4481124544283044
  λ=900.5025125628141 nm -> Rup=0.5209648827512117, Rdown=0.4518626198918706
  λ=903.2663316582915 nm -> Rup=0.5236639861559079, Rdown=0.45553523042248784
  λ=906.0301507537688 nm -> Rup=0.5262212060582931, Rdown=0.45911484376082723
  λ=908.7939698492462 nm -> Rup=0.5286313504553322, Rdown=0.4625870855132607
  λ=911.5577889447236 nm -> Rup=0.5308971340445094, Rdown=0.4659402507140009
  λ=914.321608040201 nm -> Rup=0.5330322374379715, Rdown=0.4691674519314931
  λ=917.0854271356784 nm -> Rup=0.5350638791783855, Rdown=0.4722690751991444
  λ=919.8492462311558 nm -> Rup=0.5370338078791947, Rdown=0.4752549914155888
  λ=922.6130653266332 nm -> Rup=0.5389965177938438, Rdown=0.47814568663269286
  λ=925.3768844221106 nm -> Rup=0.5410139671882809, Rdown=0.480971440817253
  λ=928.140703517588 nm -> Rup=0.5431472380860523, Rdown=0.4837691106111581
  λ=930.9045226130654 nm -> Rup=0.54544702646127, Rdown=0.4865769353101771
  λ=933.6683417085428 nm -> Rup=0.5479457511111998, Rdown=0.4894286965449845
  λ=936.4321608040202 nm -> Rup=0.5506536957032397, Rdown=0.49234894974113935
  λ=939.1959798994975 nm -> Rup=0.5535600322715698, Rdown=0.4953506127608382
  λ=941.9597989949749 nm -> Rup=0.556637735102103, Rdown=0.49843520725564516
  λ=944.7236180904523 nm -> Rup=0.5598503016143132, Rdown=0.5015951059812639
  λ=947.4874371859297 nm -> Rup=0.5631582160467046, Rdown=0.5048167000458423
  λ=950.251256281407 nm -> Rup=0.5665238588272362, Rdown=0.5080835037867875
  λ=953.0150753768844 nm -> Rup=0.5699144682798972, Rdown=0.51137860816149
  λ=955.7788944723618 nm -> Rup=0.5733033938090116, Rdown=0.5146862974440395
  λ=958.5427135678392 nm -> Rup=0.576670148603019, Rdown=0.5179929110978887
  λ=961.3065326633166 nm -> Rup=0.5799997748109533, Rdown=0.5212871468741889
  λ=964.070351758794 nm -> Rup=0.5832819148829835, Rdown=0.5245600105168859
  λ=966.8341708542714 nm -> Rup=0.5865098400681176, Rdown=0.5278045771450354
  λ=969.5979899497488 nm -> Rup=0.589679569664229, Rdown=0.5310156773213005
  λ=972.3618090452262 nm -> Rup=0.5927891351804063, Rdown=0.5341895756368703
  λ=975.1256281407036 nm -> Rup=0.5958379973754621, Rdown=0.5373236770313486
  λ=977.8894472361809 nm -> Rup=0.5988266013546608, Rdown=0.5404162752922019
  λ=980.6532663316583 nm -> Rup=0.6017560463974271, Rdown=0.5434663463158897
  λ=983.4170854271357 nm -> Rup=0.6046278463532408, Rdown=0.5464733827472168
  λ=986.1809045226131 nm -> Rup=0.6074437591052663, Rdown=0.5494372641867084
  λ=988.9447236180905 nm -> Rup=0.6102056674344576, Rdown=0.5523581566680494
  λ=991.7085427135679 nm -> Rup=0.6129154974553517, Rdown=0.5552364355633406
  λ=994.4723618090453 nm -> Rup=0.6155751640697105, Rdown=0.55807262687992
  λ=997.2361809045226 nm -> Rup=0.6181865354811286, Rdown=0.5608673627382446
  λ=1000.0 nm -> Rup=0.6207514108715296, Rdown=0.5636213475830416
----------------------------------------
